@relation WEKADataRelation

@attribute description string
@attribute rate numeric

@data
'Way Place Island Al Maryah Island Al Maryah Island (formerly known as Sowwah Island) is located northeast of Abu Dhabi, the capital of the United Arab Emirates. It is named for the Arabian oryx (\"al maryah\" in Arabic), a large number of which once inhabited the surrounding area. Al Maryah Island covers approximately 114 hectares and is currently being developed by Mubadala to be a new city center. It is one of the largest construction sites in Abu Dhabi. The island is being developed in several phases which will include construction of offices, residential buildings, hospitals like the Cleveland Clinic Abu Dhabi and leisure infrastructure. Construction was started in 2007 and the final phase of the development is planned to be finished in 2014. The center of the island will be the newly constructed Sowwah Square which will accommodate the new stock exchange of Abu Dhabi as well as several other business towers. The following buildings are planned to be built on Al Maryah Island:Al Maryah Island (formerly known as Sowwah Island) is located northeast of Abu Dhabi, the capital of the United Arab Emirates. It is named for the Arabian oryx (\"al maryah\" in Arabic), a large number of which once inhabited the surrounding area.Construction was started in 2007 and the final phase of the development is planned to be finished in 2014. The center of the island will be the newly constructed Sowwah Square which will accommodate the new stock exchange of Abu Dhabi as well as several other business towers.The following buildings are planned to be built on Al Maryah Island:',4.4
'Way Landuse MilitaryLanduse AerowayThing Runway Al Dhafra Military Airport',4.1
'Shop Node Omeir Travel',4.1
'Hotel TourismThing Node Emirates Grand Hotel',3.9
'Hotel TourismThing Node Dusit Thani Abu Dhabi',4
'Hotel TourismThing Node Dusit Thani Abu Dhabi',4.5
'Shop Supermarket Node Al Safa Supermarket Electra Street',4
'Way Amenity University Sheikh Zayed University',4.3
'Hotel TourismThing Node Al Marjan Resort & Residences',4.2
'Way Amenity Parking Bawabat Al Sharq Mall',4.2
'Hotel TourismThing Node Grand Midwest Tower Hotel Apartments',3.5
'Hotel TourismThing Node Versailles',4.5
'Hotel TourismThing Node Chelsea Plaza Hotel',3.6
'Hotel TourismThing Node Nejoum Al Emarat',3.5
'Way Building Shop Supermarket UnclassifiedBuilding Al Barsha Mall',4.1
'Hotel TourismThing Node The Bricks The Bricks is the second album by rap group, Outsidaz. It was released on May 22, 2001 for Rufflife Records and featuring production by Rockwilder, DJ Twinz, DJ Spunk, Hotrunner, Mr. Porter, Gov Mattic and Self-Service. The Bricks peaked at #68 on the Top R&B/Hip-Hop Albums, #48 on the Top Heatseekers and #29 on the Independent Albums.The Bricks is the second album by rap group, Outsidaz. It was released on May 22, 2001 for Rufflife Records and featuring production by Rockwilder, DJ Twinz, DJ Spunk, Hotrunner, Mr. Porter, Gov Mattic and Self-Service. The Bricks peaked at #68 on the Top R&B/Hip-Hop Albums, #48 on the Top Heatseekers and #29 on the Independent Albums.',4.8
'Hotel TourismThing Node Hotel Cristal Abu Dhabi',4.1
'Way Amenity School Dubai Japanese School The Dubai Japanese School (Japanese: ???????? Dobai Nihonjin Gakk?; Arabic: ??????? ????????? ?? ???) is a Japanese curriculum school located in the Al Wasl area in Dubai. The Northern Association of Japanese Community established the school in 1980. The school is in proximity of Jumeira Beach. The pink-colored building is adjacent to the Modern High School campus. At 8 AM on each school day, students in grades 1-9 begin a periodic cleaning of the campus. Fumiyoshi Suzuki, the principal, stated in 2009 that almost all graduates of his school go back to Japan to go to high school.The Dubai Japanese School (Japanese: ???????? Dobai Nihonjin Gakk?; Arabic: ??????? ????????? ?? ???) is a Japanese curriculum school located in the Al Wasl area in Dubai. The Northern Association of Japanese Community established the school in 1980. The school is in proximity of Jumeira Beach. The pink-colored building is adjacent to the Modern High School campus.At 8 AM on each school day, students in grades 1-9 begin a periodic cleaning of the campus. Fumiyoshi Suzuki, the principal, stated in 2009 that almost all graduates of his school go back to Japan to go to high school.',3.9
'Way NaturalThing Place Island Coastline Lulu Island Lulu Island is the name of the largest island in the estuary of the Fraser River. The island makes up most of the City of Richmond, a major suburb of Vancouver, British Columbia. However, the eastern tip of Lulu Island, known as Queensborough, is part of the City of New Westminster. Lulu Island is situated between the two principal arms of the Fraser River estuary across and downstream from the City of New Westminster. The Middle Arm of the Fraser River separates it on the northwest from Sea Island, the site of Vancouver International Airport, which, despite its name, is also part of the City of Richmond. At the western edge of the island lies Sturgeon Bank, a large sandbank which falls off into the Strait of Georgia on its western edge.Lulu Island is the name of the largest island in the estuary of the Fraser River. The island makes up most of the City of Richmond, a major suburb of Vancouver, British Columbia. However, the eastern tip of Lulu Island, known as Queensborough, is part of the City of New Westminster.',4.3
'Hotel TourismThing Node Dolphin Hotel Apartment',3.8
'Hotel TourismThing Node Hotel Paragon Abu Dhabi',3.6
'Hotel TourismThing Node City Hotel City Hotel may refer to:City Hotel may refer to:',3.3
'Way Amenity Police Al Barsha Police Station',4.1
'Amenity Node Restaurant Khaymat Al Bahar',3.3
'Hotel TourismThing Node Westin Abu Dhabi Golf Club -Resort',4.4
'Hotel TourismThing Node Marhaba Residence - Ajman',3.7
'Hotel TourismThing Node Cristal Salam',3.5
'Way Building BuildingRetail Mall Shop Dubai Mall@en',4.7
'Hotel TourismThing Node Bin Majid Beach Hotel',3.8
'Hotel TourismThing Node intercontinental Suites',4.4
'Way Amenity Hospital Cleveland Clinic Abu Dhabi The Cleveland Clinic Abu Dhabi (???????? ????? ??? ???, known as CCAD) is a multi specialty hospital located in Abu Dhabi, United Arab Emirates. The 364 bed luxury hospital, part of Cleveland Clinic Foundation, USA, was open to public since May 2015.The Cleveland Clinic Abu Dhabi (???????? ????? ??? ???, known as CCAD) is a multi specialty hospital located in Abu Dhabi, United Arab Emirates. The 364 bed luxury hospital, part of Cleveland Clinic Foundation, USA, was open to public since May 2015.',4.4
'Hotel TourismThing Node Holiday Inn Dubai - Al Barsha',4.1
'Hotel TourismThing Node Grosvenor House Hotel Grosvenor House is a hotel in the Mayfair area of London. The hotel is owned by the Sahara Group.Grosvenor House is a hotel in the Mayfair area of London. The hotel is owned by the Sahara Group.',4.6
'Building Hotel TourismThing UnclassifiedBuilding Node DoubleTree by Hilton Hotel Dubai - Jumeirah Beach',4.3
'Hotel TourismThing Node Lake Hotel The Lake Hotel is one of a series of hotels built to accommodate visitors to Yellowstone National Park in the late 19th and early 20th century. Built originally in 1891, it was re-designed and substantially expanded by Robert Reamer, architect of the Old Faithful Inn in 1903. In contrast to the Old Faithful Inn, the Lake Hotel is a relatively plain clapboarded Colonial Revival structure with two large Ionic porticoes facing Yellowstone Lake. The original 1891 hotel was a large three-story structure with projecting bays at each end. Its construction was supervised by R.R. Cummins for the Northern Pacific Railway, which was building two other, similar hotels in the park. Reamer\'s 1903 remodeling changed these projections to the present Ionic porticoes. An eastward extension was added at this time, with a third matching portico. In 1922-23 a further extension to the east was undertaken, this with a flat roof. In 1928 a two-story west wing was added, expanding the dining room and adding a solarium to the front. The entire hotel was extensively renovated from 1984 to 1990. The Lake Hotel is adjoined by the Lake Fish Hatchery Historic District and the Grand Loop Road Historic District. The west wing of the Lake Hotel was renovated in the winter and spring of 2012, including the formal dining room and beautiful sun room/lounge. The remaining rooms in the east end of the hotel will be renovated during the fall and winter of 2013-2014. Lake Yellowstone Hotel & Cabins is a member of Historic Hotels of America, the official program of the National Trust for Historic Preservation.The Lake Hotel is one of a series of hotels built to accommodate visitors to Yellowstone National Park in the late 19th and early 20th century. Built originally in 1891, it was re-designed and substantially expanded by Robert Reamer, architect of the Old Faithful Inn in 1903. In contrast to the Old Faithful Inn, the Lake Hotel is a relatively plain clapboarded Colonial Revival structure with two large Ionic porticoes facing Yellowstone Lake.The Lake Hotel is adjoined by the Lake Fish Hatchery Historic District and the Grand Loop Road Historic District.',4
'Way Amenity School Shining Star International@en',2.2
'Hotel TourismThing Node Abjar Grand Hotel',3.5
'Hotel TourismThing Node Hotel Peninsula',3.7
'Hotel TourismThing Node Abidos Appartment Hotel',4
'Hotel TourismThing Node Nova Park Hotel',3.5
'Hotel TourismThing Node Park Hyatt',4.7
'Way Amenity University Sorbonne University',4.3
'Hotel TourismThing Node Dusit',4
'Way Leisure SportThing Track Meydan Horse Track',4.5
'Way Building Mall Shop UnclassifiedBuilding Al Wahda Mall Al Wahda Mall is located in Abu Dhabi.Al Wahda Mall is located in Abu Dhabi.',4.3
'Way Building Hotel TourismThing UnclassifiedBuilding Al Manzil',4.3
'Hotel TourismThing Node L\'Arabia hotel',3.7
'Way CyclewayThing HighwayThing Al Entifada',5
'Way CyclewayThing HighwayThing Al Entifada',5
'Amenity Node Restaurant Hotel Vasantha Bhavan',4
'Way Airport AerowayThing Khasab Airport Khasab Airport (Arabic: ???? ???) (IATA: KHS, ICAO: OOKB) is an airport serving Khasab, a city in Oman and capital of the Musandam governorate (muhafazah).Khasab Airport (Arabic: ???? ????) (IATA: KHS, ICAO: OOKB) is an airport serving Khasab, a city in Oman and capital of the Musandam governorate (muhafazah).',3.8
'Way Amenity Parking New York University Abu Dhabi (Downtown Campus)',4.6
'Way Amenity Parking New York University Abu Dhabi (Downtown Campus)',4.6
'Hotel TourismThing Node Khatt Springs Hotel & Spa Ras al Khaimah',3.5
'Way Hotel TourismThing Al Marjan Resort & Residences',4.2
'Hotel TourismThing Node Hatta Fort Hotel The JA Hatta Fort Hotel is a small four-star resort hotel in the United Arab Emirates, located in the Dubai exclave of Hatta in the Hajar Mountains. The hotel consists of chalet-style rooms lined by pathways to the main building, which houses a small spa, reception, the Jeema Restaurant and the Roumoul Bar. It also has two villa suites (each containing two rooms and a Jacuzzi) and a larger private villa for hire. The hotel is located within some 80 acres of gardens and grounds. Benefiting from the more temperate mountain climate compared to the UAE\'s low-lying areas, the Hatta Fort Hotel is a popular weekend break location and a frequent destination for motorcycle groups such as the Dubai Chapter of the Harley Owner\'s Group (HOG).The JA Hatta Fort Hotel is a small four-star resort hotel in the United Arab Emirates, located in the Dubai exclave of Hatta in the Hajar Mountains. The hotel consists of chalet-style rooms lined by pathways to the main building, which houses a small spa, reception, the Jeema Restaurant and the Roumoul Bar. It also has two villa suites (each containing two rooms and a Jacuzzi) and a larger private villa for hire. The hotel is located within some 80 acres of gardens and grounds.',4.5
'Way Building BuildingResidential Hotel TourismThing Cassells Hotel Apartments',5
'Hotel TourismThing Node The Ajman Saray',4.5
'Way Amenity Building BuildingNo School American School of Dubai The American School of Dubai (ASD, Arabic: ??????? ????????? ????), previously known as the Jumeirah American School, is located in the Al-Barsha community of Dubai, United Arab Emirates. An independent not for profit community school, ASD was founded in 1966 to serve the needs of North American families and other expatriate populations in Dubai. It was the first American curriculum school established in Dubai and is still the only nonprofit American school located in the emirate. ASD follows an American curriculum and offers pre-K (K1) through grade 12 instruction. The school is accredited by the US Middle States Association of Colleges and Schools. Admission to the school is based on the approval of ASD\'s Admissions Committee and a student successfully meeting the admission criteria, including assessments in varying forms depending on grade level.The American School of Dubai (ASD, Arabic: ??????? ????????? ?????), previously known as the Jumeirah American School, is located in the Al-Barsha community of Dubai, United Arab Emirates.An independent not for profit community school, ASD was founded in 1966 to serve the needs of North American families and other expatriate populations in Dubai. It was the first American curriculum school established in Dubai and is still the only nonprofit American school located in the emirate.',3.9
'Hotel TourismThing Node Auris Plaza Hotel',4.2
'Way Amenity Building PlaceOfWorship UnclassifiedBuilding Sheikh Zayed Mosque Sheikh Zayed Grand Mosque (Arabic: ???? ????? ???? ??????) is located in Abu Dhabi, the capital city of the United Arab Emirates and is considered to be the key for worship in the country. Sheikh Zayed Grand Mosque was initiated by the late president of the United Arab Emirates (UAE), His Highness Sheikh Zayed bin Sultan Al Nahyan, who wanted to establish a structure which unites the cultural diversity of Islamic world, the historical and modern values of architecture and art. His final resting place is located on the grounds beside the same mosque. The mosque was constructed from 1996 to 2007. It is the largest mosque in the United Arab Emirates. The building complex measures approximately 290 m (960 ft) by 420 m (1,380 ft), covering an area of more than 12 hectares (30 acres), exclusive of exterior landscaping and vehicle parking. As the country\'s grand mosque, it is the key place of worship for Friday gathering and Eid prayers. During Eid it can be visited by more than 41000 people. Sheikh Zayed Grand Mosque Center (SZGMC) offices are located in the west minarets. SZGMC manages the day-to-day operations, as a place of worship and Friday gathering, and also a center of learning and discovery through its educational cultural activities and visitor programs. The library, located in the north/east minaret, serves the community with classic books and publications addressing a range of Islamic subjects: sciences, civilization, calligraphy, the arts, coins and includes some rare publications dating back more than 200 years. In reflection of the diversity of the Islamic world and the United Arab Emirates, the collection comprises material in a broad range of languages, including Arabic, English, French, Italian, Spanish, German and Korean.Sheikh Zayed Grand Mosque (Arabic: ???? ????? ???? ???????) is located in Abu Dhabi, the capital city of the United Arab Emirates and is considered to be the key for worship in the country.Sheikh Zayed Grand Mosque was initiated by the late president of the United Arab Emirates (UAE), His Highness Sheikh Zayed bin Sultan Al Nahyan, who wanted to establish a structure which unites the cultural diversity of Islamic world, the historical and modern values of architecture and art. His final resting place is located on the grounds beside the same mosque. The mosque was constructed from 1996 to 2007. It is the largest mosque in the United Arab Emirates. The building complex measures approximately 290 m (960 ft) by 420 m (1,380 ft), covering an area of more than 12 hectares (30 acres), exclusive',4.8
'Amenity Node ParkingEntrance Cinema Parking Dubai Mall',4.7
'Amenity Node ParkingEntrance Cinema Parking Dubai Mall',4.7
'Hotel TourismThing Node MarcoPolo Hotel',3.8
'Way Place Village Al Watani',2.3
'Hotel TourismThing Node London Crown',3.2
