1105	Fri Aug 12 16:35:11 +0000 2011	4c3a5c593849c92883e3c2b1	{Bixby Knolls}	{33.832752326388494,-118.18534419740293,Long Beach,CA,United States}	{Shop & Service,Outdoors & Recreation,Arts & Entertainment,}
1105	Thu Jul 21 20:55:11 +0000 2011	4813b6c2f964a520404f1fe3	{Castro Valley BART Station}	{37.69073997327936,-122.07747101783752,Castro Valley,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 20:54:49 +0000 2011	4813c537f964a5204f4f1fe3	{Bay Fair BART Station}	{37.69696285857602,-122.12668418884277,San Leandro,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 18:57:24 +0000 2011	4813c66bf964a520534f1fe3	{Fremont BART Station}	{37.557234176902384,-121.97650194168091,Fremont,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 18:57:01 +0000 2011	4813c63ef964a520524f1fe3	{Union City BART Station}	{37.59063522791976,-122.01772212982178,Union City,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 18:56:08 +0000 2011	4813b667f964a5203f4f1fe3	{Dublin/Pleasanton BART Station}	{37.70164877943146,-121.89888954162598,Pleasanton,CA,United States}	{Travel & Transport,Train Station,}
1105	Thu Jul 21 18:07:58 +0000 2011	4d239f7dbda95941fde4bf7d	{West Dublin/Pleasanton BART Station}	{37.69969841935417,-121.92835311824244,Dublin,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 15:11:38 +0000 2011	4b9e5c6af964a520e9dc36e3	{Sheraton Pleasanton Hotel}	{37.69852,-121.92997,Pleasanton,CA,United States}	{Travel & Transport,}
1105	Thu Jul 21 02:30:33 +0000 2011	49e03a9df964a52047611fe3	{Oracle Arena}	{37.75026469428747,-122.20290184020996,Oakland,CA,United States}	{Stadium,Arts & Entertainment,}
1105	Thu Jul 21 01:28:56 +0000 2011	49d81871f964a520a45d1fe3	{Anthony's Cookies}	{37.750302,-122.42056126,San Francisco,CA,United States}	{Food,}
1105	Thu Jul 21 01:09:25 +0000 2011	42814b00f964a52002221fe3	{Tartine Bakery}	{37.76142131411304,-122.42400974035263,San Francisco,CA,United States}	{Food,}
1105	Thu Jul 21 00:54:50 +0000 2011	45eaff58f964a5208e431fe3	{Bi-Rite Creamery}	{37.76145030454691,-122.42584644345114,San Francisco,CA,United States}	{Food,}
1105	Thu Jul 21 00:13:49 +0000 2011	4a71e4cff964a520ccd91fe3	{San Francisco-Oakland Bay Bridge}	{37.81534420993673,-122.35495090484619,San Francisco,CA,United States}	{Outdoors & Recreation,}
1105	Wed Jul 20 18:56:57 +0000 2011	4b2c4c81f964a5207bc524e3	{Simply Greek}	{37.696984081711356,-121.87691688537598,Pleasanton,CA,United States}	{Food,}
1105	Wed Jul 20 15:08:22 +0000 2011	4b9e5c6af964a520e9dc36e3	{Sheraton Pleasanton Hotel}	{37.69852,-121.92997,Pleasanton,CA,United States}	{Travel & Transport,}
1105	Wed Jul 20 01:54:54 +0000 2011	4b462308f964a520a31726e3	{Mrs. Fields Cookies}	{37.695910183440255,-121.9288444519043,Pleasanton,CA,United States}	{Food,}
1105	Wed Jul 20 01:40:16 +0000 2011	4b590db6f964a520507a28e3	{Nordstrom}	{37.69628706940883,-121.92806976631579,Pleasanton,CA,United States}	{Shop & Service,}
1105	Tue Jul 19 23:00:41 +0000 2011	455ad751f964a5205a3d1fe3	{Stoneridge Shopping Center}	{37.69506124,-121.9287372,Pleasanton,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1105	Tue Jul 19 22:59:08 +0000 2011	4b9e5c6af964a520e9dc36e3	{Sheraton Pleasanton Hotel}	{37.69852,-121.92997,Pleasanton,CA,United States}	{Travel & Transport,}
1105	Tue Jul 19 19:22:02 +0000 2011	4b6136c0f964a5201d0d2ae3	{Meiko Sushi}	{37.67707586288452,-121.87556505203247,Pleasanton,CA,United States}	{Food,}
1105	Tue Jul 19 17:24:44 +0000 2011	4cd1c1236449a09308ead1cf	{Safeway Golden Gate Facility}	{37.70199525749974,-121.92778641365979,Dublin,CA,United States}	{Professional & Other Places,}
1105	Tue Jul 19 17:23:53 +0000 2011	4b9e5c6af964a520e9dc36e3	{Sheraton Pleasanton Hotel}	{37.69852,-121.92997,Pleasanton,CA,United States}	{Travel & Transport,}
1105	Tue Jul 19 08:00:25 +0000 2011	455ad751f964a5205a3d1fe3	{Stoneridge Shopping Center}	{37.69506124,-121.9287372,Pleasanton,CA,United States}	{Shop & Service,Food,Professional & Other Places,}
1105	Tue Jul 19 07:57:26 +0000 2011	4b453643f964a520240826e3	{Hot Dog on a Stick}	{37.695944140935985,-121.92953109741211,Pleasanton,CA,United States}	{Food,}
1105	Tue Jul 19 07:56:38 +0000 2011	4ad62d12f964a5208e0521e3	{Fresh Choice}	{37.695706438139254,-121.92944526672363,Pleasanton,CA,United States}	{Food,}
1105	Tue Jul 19 07:42:13 +0000 2011	4b9e5c6af964a520e9dc36e3	{Sheraton Pleasanton Hotel}	{37.69852,-121.92997,Pleasanton,CA,United States}	{Travel & Transport,}
1105	Tue Jul 19 06:27:27 +0000 2011	4c0e65697189c9285062d8b6	{OAK - Rental Car Shuttle}	{37.71190496,-122.21122005,Oakland,CA,United States}	{Travel & Transport,Airport,}
1105	Tue Jul 19 06:23:49 +0000 2011	4493522af964a5207c341fe3	{Oakland International Airport (OAK)}	{37.71226740592608,-122.21261143684387,Oakland,CA,United States}	{Travel & Transport,}
1105	Tue Jul 19 03:17:41 +0000 2011	4aad5a7ef964a520da5f20e3	{Carl's Jr}	{34.06005482201255,-117.58872985839844,Ontario,CA,United States}	{Food,}
1105	Tue Jul 19 03:17:13 +0000 2011	4bb27dd942959c74fbe9202c	{Gate 404}	{34.06020147908196,-117.58892834186554,Ontario,CA,United States}	{Travel & Transport,Airport,}
1105	Tue Jul 19 03:16:40 +0000 2011	47053daef964a520544b1fe3	{Ontario International Airport (ONT)}	{34.05994816216629,-117.5930643081665,Ontario,CA,United States}	{Travel & Transport,Airport,}
1105	Mon Jul 18 19:38:23 +0000 2011	4ba3fbacf964a520417438e3	{Hot Dog on a Stick}	{34.07057793348581,-117.93316841125488,West Covina,CA,United States}	{Food,}
1105	Mon Jul 18 19:38:04 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Mon Jul 18 19:37:50 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Mon Jul 18 05:43:09 +0000 2011	4bb3f1389af3b713c7cc8b28	{Cherry On Top}	{33.975787315316126,-117.83781051635742,Diamond Bar,CA,United States}	{Food,}
1105	Mon Jul 18 05:42:22 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Mon Jul 18 05:42:08 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Sun Jul 17 21:52:38 +0000 2011	4bd0e6e6462cb713d163d907	{Costco Gasoline}	{33.8626827037005,-117.92382175988068,Fullerton,CA,United States}	{Shop & Service,}
1105	Sun Jul 17 21:51:37 +0000 2011	49bd9acff964a52089541fe3	{Costco Wholesale}	{33.8625270158143,-117.92182266712189,Fullerton,CA,United States}	{Shop & Service,}
1105	Sun Jul 17 21:48:57 +0000 2011	4b1afcc4f964a520e9f523e3	{ARCO}	{33.86542104128994,-117.92463986784533,Fullerton,CA,United States}	{Shop & Service,}
1105	Sun Jul 17 21:48:13 +0000 2011	49bd9bbcf964a5208a541fe3	{SONIC Drive In}	{33.85862479450807,-117.91936039924622,Anaheim,CA,United States}	{Food,}
1105	Sun Jul 17 21:45:26 +0000 2011	4be5ee702468c92878c90043	{Sports Authority}	{33.855987875672675,-117.92590420920621,Fullerton,CA,United States}	{Shop & Service,}
1105	Sun Jul 17 20:30:48 +0000 2011	4703a234f964a5204b4b1fe3	{The Twilight Zone Tower of Terror}	{33.80683935374519,-117.91716165840626,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 20:30:36 +0000 2011	4aff5daef964a520d13722e3	{Disney's Aladdin - A Musical Spectacular}	{33.80737023450549,-117.91690074747156,Anaheim,CA,United States}	{Performing Arts Venue,Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 20:30:03 +0000 2011	4b35a6d2f964a5206d2e25e3	{AMC Southcenter 16}	{47.45767795643763,-122.2585254907608,Tukwila,WA,United States}	{Food,Arts & Entertainment,Movie Theater,}
1105	Sun Jul 17 19:51:47 +0000 2011	4d9a489f3e1c530c1a4222a3	{The Little Mermaid ~ Ariel's Undersea Adventure}	{33.80633144660732,-117.92138200796013,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 19:33:57 +0000 2011	4de58e5f18389f055865840d	{Paradise Garden Grill}	{33.80601660540392,-117.92321545559273,Anaheim,CA,United States}	{Food,}
1105	Sun Jul 17 18:50:46 +0000 2011	4aa5739bf964a5206c4820e3	{Toy Story Midway Mania!}	{33.80463285506184,-117.9218630986564,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 18:38:02 +0000 2011	45db8eb5f964a520fd421fe3	{Disney California Adventure Park}	{33.80798489664312,-117.91896778777333,Anaheim,CA,United States}	{Arts & Entertainment,}
1105	Sun Jul 17 18:22:05 +0000 2011	4c3788cb93db0f4786f71f92	{Tiki Juice Bar}	{33.81185050355998,-117.91969936097902,Anaheim,CA,United States}	{Food,}
1105	Sun Jul 17 17:22:35 +0000 2011	4703a06ef964a520454b1fe3	{Finding Nemo Submarine Voyage}	{33.81288647037901,-117.91673915354647,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 16:32:04 +0000 2011	47f80a8cf964a520bc4e1fe3	{Tomorrowland}	{33.81213998647339,-117.91723198996176,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 16:31:45 +0000 2011	4a6beb6ef964a52041d01fe3	{Star Tours - The Adventures Continue}	{33.81201570836017,-117.91795022785664,Anaheim,CA,United States}	{Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 16:25:35 +0000 2011	4ad29f2af964a5205de220e3	{Little Red Wagon Corn Dogs}	{33.8114867186727,-117.9186999052763,Anaheim,CA,United States}	{Food,}
1105	Sun Jul 17 16:25:15 +0000 2011	47f80aa8f964a520be4e1fe3	{Main Street, U.S.A.}	{33.81054641897339,-117.91901774704456,Anaheim,CA,United States}	{Arts & Entertainment,}
1105	Sun Jul 17 15:58:31 +0000 2011	4bb7747b98c7ef3b72c52f02	{Esplanade & Ticket Booths}	{33.80908985284426,-117.91895806789398,Anaheim,CA,United States}	{Arts & Entertainment,}
1105	Sun Jul 17 15:58:16 +0000 2011	40f86c00f964a520bd0a1fe3	{Disneyland}	{33.80958286695518,-117.91899628937244,Anaheim,CA,United States}	{Arts & Entertainment,}
1105	Sun Jul 17 15:48:04 +0000 2011	40f86c00f964a520bd0a1fe3	{Disneyland}	{33.80958286695518,-117.91899628937244,Anaheim,CA,United States}	{Arts & Entertainment,}
1105	Sun Jul 17 15:47:48 +0000 2011	4b1f15faf964a520d32324e3	{La Brea Bakery Cafe}	{33.80879567221649,-117.92026698589325,Anaheim,CA,United States}	{Food,}
1105	Sun Jul 17 15:38:05 +0000 2011	4ac7e458f964a52064ba20e3	{Mickey & Friends Tram}	{33.813526,-117.924671,Anaheim,CA,United States}	{Travel & Transport,Arts & Entertainment,Theme Park,}
1105	Sun Jul 17 15:33:37 +0000 2011	4aadba50f964a520596120e3	{Mickey & Friends Parking Structure}	{33.81481057349054,-117.92484283447264,Anaheim,CA,United States}	{Arts & Entertainment,Professional & Other Places,}
1105	Sun Jul 17 05:24:59 +0000 2011	4e18bbc062e12640d878e982	{Carmageddon}	{34.126353468282474,-118.47553253173828,Los Angeles,CA,United States}	{Travel & Transport,}
1105	Sun Jul 17 03:13:01 +0000 2011	4ab2e160f964a520d06c20e3	{Lucille's Smokehouse Bar-B-Que}	{33.9110997,-117.8811961,Brea,CA,United States}	{Food,}
1105	Sun Jul 17 01:38:53 +0000 2011	4d8153d19d78a35db275530f	{The Meat House Brea}	{33.91255407502695,-117.88069367408752,Brea,CA,United States}	{Shop & Service,Food & Drink Shop,}
1105	Sun Jul 17 01:36:53 +0000 2011	4b20427bf964a520862f24e3	{Borders Bookstore}	{33.91248729684294,-117.88104772567749,Brea,CA,United States}	{Shop & Service,}
1105	Sun Jul 17 01:36:30 +0000 2011	4ab2e160f964a520d06c20e3	{Lucille's Smokehouse Bar-B-Que}	{33.9110997,-117.8811961,Brea,CA,United States}	{Food,}
1105	Sun Jul 17 00:29:05 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sun Jul 17 00:28:54 +0000 2011	4aff11e1f964a520ca3322e3	{Saint Denis Catholic Church}	{33.98580797032929,-117.82699573809153,Diamond Bar,CA,United States}	{Spiritual Center,Professional & Other Places,}
1105	Sat Jul 16 18:59:40 +0000 2011	4c51e4c216719c745a28535a	{Southlands Christian School}	{33.98487661761621,-117.86786696731853,Walnut,CA,United States}	{Professional & Other Places,}
1105	Sat Jul 16 18:59:24 +0000 2011	4c015b43f7ab0f4783f415b6	{Southlands School Basketball Courts - Saturday Team FIH practice}	{33.98527,-117.86836,Walnut,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1105	Sat Jul 16 08:09:12 +0000 2011	4d9c9c7cc540236a9da87c4b	{Moe's Apartment/ The Emerald Pointe}	{33.96825826134299,-117.83700405507383,,,United States}	{Residence,}
1105	Sat Jul 16 08:08:58 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Jul 16 08:08:58 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Sat Jul 16 08:08:39 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sat Jul 16 08:08:39 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Sat Jul 16 05:49:55 +0000 2011	4aeb8285f964a520d8c221e3	{DoubleTree Suites by Hilton}	{33.79663309241122,-117.9158091545105,Anaheim,CA,United States}	{Travel & Transport,}
1105	Sat Jul 16 05:49:36 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Sat Jul 16 05:49:24 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Sat Jul 16 03:55:30 +0000 2011	4b0ed7d6f964a520c45b23e3	{Walmart Supercenter}	{33.99890911887984,-117.93244317230618,City Of Industry,CA,United States}	{Shop & Service,Professional & Other Places,}
1105	Fri Jul 15 18:04:00 +0000 2011	4ba3fbacf964a520417438e3	{Hot Dog on a Stick}	{34.07057793348581,-117.93316841125488,West Covina,CA,United States}	{Food,}
1105	Fri Jul 15 18:03:39 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Fri Jul 15 06:25:16 +0000 2011	4ae1cdfaf964a5208f8721e3	{Starbucks}	{33.974812,-117.837744,Diamond Bar,CA,United States}	{Food,}
1105	Fri Jul 15 06:25:03 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Fri Jul 15 06:24:50 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Fri Jul 15 05:40:55 +0000 2011	4a36fdd1f964a5201e9e1fe3	{The Hat}	{34.078705264451784,-118.12320311561777,Alhambra,CA,United States}	{Food,}
1105	Fri Jul 15 02:24:35 +0000 2011	4af39c5cf964a520eeee21e3	{38 Degrees Ale House and Grill}	{34.09445977,-118.127975,Alhambra,CA,United States}	{Nightlife Spot,Food,}
1105	Fri Jul 15 01:39:05 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Thu Jul 14 21:18:56 +0000 2011	4ba3fbacf964a520417438e3	{Hot Dog on a Stick}	{34.07057793348581,-117.93316841125488,West Covina,CA,United States}	{Food,}
1105	Thu Jul 14 21:18:33 +0000 2011	4b464db2f964a5200c1d26e3	{In-N-Out Burger}	{34.08988952636719,-117.94100328333333,West Covina,CA,United States}	{Food,}
1105	Thu Jul 14 21:18:22 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Thu Jul 14 04:31:32 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Thu Jul 14 04:31:19 +0000 2011	4aeb8285f964a520d8c221e3	{DoubleTree Suites by Hilton}	{33.79663309241122,-117.9158091545105,Anaheim,CA,United States}	{Travel & Transport,}
1105	Thu Jul 14 01:17:18 +0000 2011	4df02058b0fbfee72f3d7e8f	{Rowland Heights Truck Fiesta}	{33.985435,-117.868353,Walnut,CA,United States}	{Food,}
1105	Thu Jul 14 00:56:48 +0000 2011	4a29992bf964a520b0951fe3	{Kogi BBQ Truck}	{34.04583232505719,-118.2568359375,Los Angeles,CA,United States}	{Travel & Transport,Food,}
1105	Tue Jul 12 20:10:28 +0000 2011	4b516748f964a520974c27e3	{DoubleTree by Hilton Hotel Monrovia - Pasadena Area}	{34.13904218873244,-118.01866306869104,Monrovia,CA,United States}	{Travel & Transport,}
1105	Tue Jul 12 20:10:01 +0000 2011	4ba3fbacf964a520417438e3	{Hot Dog on a Stick}	{34.07057793348581,-117.93316841125488,West Covina,CA,United States}	{Food,}
1105	Tue Jul 12 15:39:22 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Tue Jul 12 05:28:20 +0000 2011	4aeb8285f964a520d8c221e3	{DoubleTree Suites by Hilton}	{33.79663309241122,-117.9158091545105,Anaheim,CA,United States}	{Travel & Transport,}
1105	Tue Jul 12 05:27:31 +0000 2011	4b4965f3f964a520146f26e3	{Chick-fil-A}	{33.917611520757994,-117.96579790442335,La Habra,CA,United States}	{Food,}
1105	Tue Jul 12 05:24:04 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Tue Jul 12 05:23:51 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Tue Jul 12 02:38:47 +0000 2011	4bcb7cedb6c49c74ac579291	{Albertsons}	{33.98720871510728,-117.8717641644643,Rowland Heights,CA,United States}	{Shop & Service,Food & Drink Shop,}
1105	Mon Jul 11 22:26:38 +0000 2011	4ba3fbacf964a520417438e3	{Hot Dog on a Stick}	{34.07057793348581,-117.93316841125488,West Covina,CA,United States}	{Food,}
1105	Mon Jul 11 04:44:14 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Mon Jul 11 04:43:55 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Sun Jul 10 22:16:41 +0000 2011	4b6b7c53f964a520cc0b2ce3	{Pathfinder Community Regional Park}	{33.96667615303708,-117.91304111480713,Rowland Heights,CA,United States}	{Outdoors & Recreation,}
1105	Sun Jul 10 17:19:02 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Sun Jul 10 17:18:34 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Sun Jul 10 04:18:45 +0000 2011	4ccf29c37b6854812e16baf8	{Tea Bar Starry}	{34.127227,-118.05421,Arcadia,CA,United States}	{Food,}
1105	Sun Jul 10 03:59:33 +0000 2011	4afe3135f964a520a32e22e3	{Din Tai Fung Dumpling House #1}	{34.1271838709909,-118.05431306362152,Arcadia,CA,United States}	{Food,}
1105	Sun Jul 10 01:45:37 +0000 2011	4afe3135f964a520a32e22e3	{Din Tai Fung Dumpling House #1}	{34.1271838709909,-118.05431306362152,Arcadia,CA,United States}	{Food,}
1105	Sat Jul 09 20:32:47 +0000 2011	4bedd35a946c0f4703ffa263	{Hong Kong Plaza}	{33.986427632109255,-117.90278434753418,Rowland Heights,CA,United States}	{Shop & Service,Food,}
1105	Sat Jul 09 15:04:26 +0000 2011	4c015b43f7ab0f4783f415b6	{Southlands School Basketball Courts - Saturday Team FIH practice}	{33.98527,-117.86836,Walnut,CA,United States}	{Outdoors & Recreation,Athletics & Sports,}
1105	Sat Jul 09 15:04:10 +0000 2011	4c51e4c216719c745a28535a	{Southlands Christian School}	{33.98487661761621,-117.86786696731853,Walnut,CA,United States}	{Professional & Other Places,}
1105	Sat Jul 09 06:29:06 +0000 2011	4be62a53d4f7c9b62a862620	{Koba Tofu Grill}	{33.974658,-117.837784,Diamond Bar,CA,United States}	{Food,}
1105	Sat Jul 09 06:25:59 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Sat Jul 09 06:25:39 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Sat Jul 09 01:54:08 +0000 2011	4bdb652f2a3a0f47fbdaaeb6	{Sizzler}	{34.06817390875355,-117.93301284313202,West Covina,CA,United States}	{Food,}
1105	Sat Jul 09 01:30:18 +0000 2011	4c5cf9097f661b8db84c4a1c	{3K's BBQ haus}	{34.02258229566169,-117.9064355045557,West Covina,CA,United States}	{Food,}
1105	Fri Jul 08 04:46:37 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Fri Jul 08 04:46:37 +0000 2011	4b883e7cf964a520fae931e3	{AAA - Automobile Club of Southern California}	{33.97406793485968,-117.83870687397729,Diamond Bar,CA,United States}	{Travel & Transport,Shop & Service,}
1105	Fri Jul 08 04:46:18 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Fri Jul 08 04:45:59 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Thu Jul 07 21:09:04 +0000 2011	4c5ee6287735c9b6fdf89272	{Ready Pac}	{34.092743764761195,-117.93715130735507,Irwindale,CA,United States}	{Professional & Other Places,}
1105	Thu Jul 07 05:34:55 +0000 2011	4cd6fc2da5b34688f5bb9650	{The Emerald Pointe / The Childs Domain!}	{33.96825826134299,-117.83700405507383,,CA,United States}	{Residence,}
1105	Thu Jul 07 05:34:38 +0000 2011	4c34edb116adc92838fec59c	{Emerald Pointe  Apartments}	{33.96825826134299,-117.83700405507383,Diamond Bar,CA,United States}	{Residence,}
1105	Thu Jul 07 04:04:27 +0000 2011	4a2f650bf964a520c5981fe3	{Long Beach Airport (LGB)}	{33.81851869758065,-118.1443977355957,Long Beach,CA,United States}	{Travel & Transport,}
1105	Thu Jul 07 00:55:11 +0000 2011	4b5f183cf964a520c3a529e3	{Gate C9}	{47.44573629035488,-122.30366706848145,SeaTac,WA,United States}	{Travel & Transport,Airport,}
1105	Thu Jul 07 00:54:47 +0000 2011	4acd37fff964a52073cb20e3	{Alaska Lodge}	{47.44434393746697,-122.30317490048323,Seattle,WA,United States}	{Nightlife Spot,Food,}
1105	Thu Jul 07 00:35:10 +0000 2011	4aceb605f964a520bbd120e3	{Wendy's}	{47.44355950985984,-122.30340957641602,Seatac,WA,United States}	{Travel & Transport,Airport,Food,}
1105	Thu Jul 07 00:34:52 +0000 2011	4afdb185f964a520e72922e3	{Ivar's Fish Bar}	{47.44337085130866,-122.3032808303833,SeaTac,WA,United States}	{Travel & Transport,Shop & Service,Airport,Food,Food & Drink Shop,}
1105	Thu Jul 07 00:34:37 +0000 2011	45f555cef964a5200e441fe3	{Seattle-Tacoma International Airport (SEA)}	{47.44364658280913,-122.30259418487549,Seatac,WA,United States}	{Travel & Transport,}
1105	Wed Jul 06 22:37:16 +0000 2011	4c1c0d14b306c928f04663b7	{Lake Washington}	{47.62377398067737,-122.25925608447278,Seattle,WA,United States}	{Outdoors & Recreation,}
1105	Wed Jul 06 22:36:57 +0000 2011	4b79f559f964a520941c2fe3	{Ivar's Seafood}	{47.50691695086608,-122.20254046401148,Renton,WA,United States}	{Food,}
1105	Wed Jul 06 22:36:43 +0000 2011	4b4a4cd3f964a520eb8226e3	{Kidd Valley}	{47.50659159633342,-122.20195770263672,Renton,WA,United States}	{Food,}
1105	Wed Jul 06 22:02:20 +0000 2011	463fd072f964a52051461fe3	{Gene Coulon Park}	{47.50427238141552,-122.20251560211182,Renton,WA,United States}	{Outdoors & Recreation,}
1105	Wed Jul 06 20:25:57 +0000 2011	485bae80f964a520c5501fe3	{Facing East}	{47.61976049579698,-122.20268726348877,Bellevue,WA,United States}	{Food,}
1105	Wed Jul 06 19:56:44 +0000 2011	4c5c637e7735c9b666248c72	{The Office@LexisNexis}	{47.623752267682875,-122.16105937957764,Bellevue,WA,United States}	{Professional & Other Places,}
1105	Wed Jul 06 19:54:44 +0000 2011	4b8d4c1ff964a520bcf232e3	{LexisNexis}	{47.62397644714396,-122.16071073862713,Bellevue,WA,United States}	{Professional & Other Places,}
1105	Wed Jul 06 19:48:16 +0000 2011	4a85cb87f964a52049ff1fe3	{Overlake Hospital Medical Center}	{47.62025225227291,-122.18719482421875,Bellevue,WA,United States}	{Medical Center,Professional & Other Places,}
1105	Wed Jul 06 19:41:41 +0000 2011	4c1c0d14b306c928f04663b7	{Lake Washington}	{47.62377398067737,-122.25925608447278,Seattle,WA,United States}	{Outdoors & Recreation,}
1105	Wed Jul 06 19:40:21 +0000 2011	4bdb8cfe2a3a0f473ec4afb6	{Seahawks Headquarters (Virginia Mason Athletic Center)}	{47.53571800479104,-122.19732284545898,Renton,WA,United States}	{Stadium,Arts & Entertainment,Professional & Other Places,}
