929	Fri Feb 11 18:11:55 +0000 2011	4ac8c403f964a52082bc20e3	{Peg's Glorified Ham n Eggs}	{39.520982141235784,-119.81228018230519,Reno,NV,United States}	{Food,}
929	Mon Aug 30 22:09:27 +0000 2010	4c75eda12db5236a2a96be79	{RAIDERS HQ}	{39.558745181164944,-119.78313557963197,Reno,NV,United States}	{Residence,}
929	Sun Aug 29 18:41:50 +0000 2010	4c75eda12db5236a2a96be79	{RAIDERS HQ}	{39.558745181164944,-119.78313557963197,Reno,NV,United States}	{Residence,}
929	Sun Aug 29 11:46:42 +0000 2010	4c75eda12db5236a2a96be79	{RAIDERS HQ}	{39.558745181164944,-119.78313557963197,Reno,NV,United States}	{Residence,}
929	Sun Aug 29 10:23:29 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sun Aug 29 03:38:57 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sun Aug 29 03:23:27 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sun Aug 29 00:58:28 +0000 2010	4c75eda12db5236a2a96be79	{RAIDERS HQ}	{39.558745181164944,-119.78313557963197,Reno,NV,United States}	{Residence,}
929	Sun Aug 29 00:58:28 +0000 2010	4c75eda12db5236a2a96be79	{RAIDERS HQ}	{39.558745181164944,-119.78313557963197,Reno,NV,United States}	{Residence,}
929	Sat Aug 28 05:50:18 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Fri Aug 27 16:02:22 +0000 2010	4c65a044aebea5930ee870d0	{Chase International Real Estate}	{39.42470434784549,-119.74311010746922,Reno,NV,United States}	{Professional & Other Places,}
929	Thu Aug 26 18:41:39 +0000 2010	4c65a044aebea5930ee870d0	{Chase International Real Estate}	{39.42470434784549,-119.74311010746922,Reno,NV,United States}	{Professional & Other Places,}
929	Thu Aug 26 04:29:59 +0000 2010	4c75eda12db5236a2a96be79	{RAIDERS HQ}	{39.558745181164944,-119.78313557963197,Reno,NV,United States}	{Residence,}
929	Sun Aug 22 08:02:30 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sun Aug 22 07:42:50 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sun Aug 22 06:03:23 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sun Aug 22 00:55:22 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sun Aug 22 00:17:12 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sat Aug 21 21:36:57 +0000 2010	4c65a044aebea5930ee870d0	{Chase International Real Estate}	{39.42470434784549,-119.74311010746922,Reno,NV,United States}	{Professional & Other Places,}
929	Sat Aug 21 21:36:57 +0000 2010	4c65a044aebea5930ee870d0	{Chase International Real Estate}	{39.42470434784549,-119.74311010746922,Reno,NV,United States}	{Professional & Other Places,}
929	Sat Aug 21 06:54:45 +0000 2010	4b776788f964a5203c982ee3	{3rd Street Bar}	{39.528219429921684,-119.8160051400094,Reno,NV,United States}	{Nightlife Spot,}
929	Sat Aug 21 03:03:08 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Sat Aug 21 02:47:22 +0000 2010	4b3efe4cf964a52073a325e3	{The Knitting Factory}	{39.527063427603494,-119.81369330398984,Reno,NV,United States}	{Arts & Entertainment,}
929	Thu Aug 19 04:26:33 +0000 2010	4b63ce41f964a52070922ae3	{Atlantis Casino Resort & Spa}	{39.488873475779414,-119.79475021362305,Reno,NV,United States}	{Travel & Transport,Arts & Entertainment,Hotel,}
929	Wed Aug 18 21:10:31 +0000 2010	4c65a044aebea5930ee870d0	{Chase International Real Estate}	{39.42470434784549,-119.74311010746922,Reno,NV,United States}	{Professional & Other Places,}
