399	-23.5094698	-46.6639769	(amenity) (hospital)
241934	-23.65734685	-46.948157550000005	(amenity) (hospital)	Hospital da Graça
242154	-23.57354985	-46.215883899999994	(amenity) (hospital)	Unidade de Pronto Atendimento 24 horas - Oropó
242223	-23.5415988	-46.2210066	(amenity) (hospital)	Hospital Municipal de Mogi das Cruzes Prefeito Waldemar Costa Filho
242458	-23.5254516	-46.189060749999996	(amenity) (hospital)	Mogi-Mater Hospital e Maternidade
242958	-24.18059045	-46.783785949999995	(amenity) (hospital)	Hospital Regional Jorge Rossmann
244525	-23.46691075	-46.53242995	(amenity) (hospital)	Hospital Municipal da Criança e do Adolescente
245397	-23.531123299999997	-46.444531600000005	(amenity) (hospital)	Hospital Municipal Professor Doutor Waldomiro de Paula
245500	-23.487845800000002	-46.8922783	(amenity) (hospital)	Pronto Socorro Engenho Novo
245661	-23.95007365	-46.4596327	(amenity) (hospital)	Hospital do Humaita
245752	-23.5677167	-46.777135799999996	(amenity) (hospital)	Pronto Socorro Jardim D' Abril
246008	-23.66666265	-46.429178	(amenity) (hospital)	Unidade de Pronto Atendimento Barão de Mauá
246030	-23.7183168	-46.52711305	(amenity) (hospital)	Unidade de Pronto Atendimento Vila São Pedro
246042	-23.672663149999998	-46.45032995	(amenity) (hospital)	Hospital de Clínicas Doutor Radamés Nardini
246044	-23.654997	-46.44807475	(amenity) (hospital)	Unidade de Pronto Atendimento 24H Zaíra
246073	-23.6835198	-46.46017195	(amenity) (hospital)	Hospital Vital
246638	-23.6431466	-46.31760645	(amenity) (hospital)	Pronto Atendimento Antonio Tanoeiro
248203	-23.5366486	-46.781476	(amenity) (hospital)	Hospital Nossa Senhora de Fátima
248990	-23.51138835	-46.87214195	(amenity) (hospital)	Pronto-Socorro e Maternidade Nair Fonseca Leitão Arantes
248991	-23.51097035	-46.8716181	(amenity) (hospital)	Pronto Socorro Infantil
249076	-23.55280605	-46.3072314	(amenity) (hospital)	Hospital Ipiranga - Unidade Avançada
250407	-23.2044079	-45.8880145	(amenity) (hospital)	Hospital Prontil
250455	-23.2007927	-45.88912085	(amenity) (hospital)	Hospital Pró-Infância
251786	-23.28395955	-45.93807605	(amenity) (hospital)	Hospital São Francisco de Assis
251848	-23.54195835	-46.8010096	(amenity) (hospital)	Pronto Socorro André Sacco
252142	-23.4117858	-46.825221400000004	(amenity) (hospital)	Hospital Regional
252155	-23.3382937	-46.839080800000005	(amenity) (hospital)	Unidade de Pronto de Atendimento 24H
252717	-23.49592895	-46.81199695	(amenity) (hospital)	Pronto Socorro Municipal Rômulo Fonseca Guimarães
253114	-23.53210225	-46.891503799999995	(amenity) (hospital)	Pronto Socorro Muncipal Arnaldo de Figueiredo Freitas
253599	-23.4859656	-46.804468150000005	(amenity) (hospital)	Pronto Socorro José Agostinho dos Santos
253768	-24.0196411	-46.47786565	(amenity) (hospital)	Pronto Socorro Quietude
254134	-23.3039495	-45.96661815	(amenity) (hospital)	Unimed
254341	-23.44365385	-46.71788495	(amenity) (hospital)	HOSPITAL GERAL DE TAIPAS
254666	-23.5409254	-46.3679722	(amenity) (hospital)	Clinica Santo Antonio
254859	-23.4422933	-46.92503115	(amenity) (hospital)	Complexo Hospitalar Santa Ana
255287	-23.53652355	-46.90136425	(amenity) (hospital)	Unidade de Pronto Atendimento 24H
255387	-23.20756645	-45.89059925	(amenity) (hospital)	Santos Dumont
255658	-23.538569350000003	-46.363401749999994	(amenity) (hospital)	Clinica de Todos
255781	-23.951133900000002	-46.3313105	(amenity) (hospital)	Hospital e Maternidade São Lucas
256066	-23.48570215	-46.6951993	(amenity) (hospital)	Hospital Geral "Dr. José Pangella" de Vila Penteado
256170	-23.487634399999997	-46.62745615	(amenity) (hospital)	Hospital São Camilo
256292	-23.5492553	-46.936070099999995	(amenity) (hospital)	Hospital Cruzeiro do Sul
256688	-23.20168925	-45.895959899999994	(amenity) (hospital)	Hospital Orto
256817	-23.38731795	-46.716075849999996	(amenity) (hospital)	Hospital Espírita Fabiano de Cristo
257117	-23.18713075	-45.8825921	(amenity) (hospital)	Santa Casa
257196	-23.5524754	-46.3062459	(amenity) (hospital)	Pronto Socorro Municipal
257197	-23.5524682	-46.3058908	(amenity) (hospital)	Pronto Socorro Infantil
259079	-23.30892875	-47.132789450000004	(amenity) (hospital)	Santa Casa de Misericórdia de Cabreúva
259419	-23.5632145	-46.561753100000004	(amenity) (hospital)	Hospital Vitória
259561	-23.522807649999997	-46.5428195	(amenity) (hospital)	Centro Médico São Gabriel
259636	-23.51009465	-46.4466533	(amenity) (hospital)	Assistência Médica Ambulatorial Sítio da Casa Pintada
259734	-23.662552650000002	-46.4596831	(amenity) (hospital)	Unidade de Pronto Atendimento Centro
259787	-23.6868057	-46.460033100000004	(amenity) (hospital)	Unidade de Pronto Atendimento
259899	-23.4589479	-46.582015150000004	(amenity) (hospital)	Hospital São Luiz Gonzaga
260011	-23.552072850000002	-46.677131349999996	(amenity) (hospital)	Itaci
260054	-23.59635635	-46.6088743	(amenity) (hospital)	Hospital Dom Alvarenga
260204	-23.53376625	-46.6884343	(amenity) (hospital)	Hospital São Camilo
260205	-23.53057835	-46.697181799999996	(amenity) (hospital)	Hospital e Maternidade Metropolitano
260206	-23.5332689	-46.67549885	(amenity) (hospital)	Hospital Israelita Albert Einstein
260248	-23.541438399999997	-46.649329800000004	(amenity) (hospital)	Hospital Sancta Maggiore
260301	-23.49579535	-46.625132300000004	(amenity) (hospital)	Hospital San Paolo
260302	-23.51173165	-46.5838787	(amenity) (hospital)	Hospital e Maternidade Nossa Senhora do Rosário
260328	-23.544989100000002	-46.5907526	(amenity) (hospital)	Hospital CEMA
260336	-23.56328825	-46.5899753	(amenity) (hospital)	Hospital Villa-Lobos
260355	-23.540286899999998	-46.880907300000004	(amenity) (hospital)	Instituto de Atenção Básica e Avançada de Saúde
260559	-23.42116305	-46.5561599	(amenity) (hospital)	UBS Jardim Cambará
260663	-23.502909449999997	-46.8780456	(amenity) (hospital)	HospitalIs
260857	-23.40676805	-46.043455050000006	(amenity) (hospital)	Hospital Municipal de Guararema
260955	-23.668093550000002	-46.53158215	(amenity) (hospital)	Hospital Brasil
261439	-23.59094175	-46.620961550000004	(amenity) (hospital)	Hospital Israelita Albert Einstein
261441	-23.5952482	-46.627516150000005	(amenity) (hospital)	Hospital Sepaco
261746	-23.5881918	-46.5144597	(amenity) (hospital)	Hospital Municipal Doutor Benedicto Montenegro
262177	-23.67094575	-46.53313275	(amenity) (hospital)	Hospital Estadual Mário Covas
262189	-23.66399165	-46.57000075	(amenity) (hospital)	Hospital Sancta Maggiore
262255	-23.6656347	-46.527497049999994	(amenity) (hospital)	Centro Hospitalar do Município de Santo André
262708	-23.7384902	-46.5282907	(amenity) (hospital)	Unidade de Pronto Atendimento Montanhão
262783	-23.6490522	-46.847494350000005	(amenity) (hospital)	Maternidade Alice Mendes
264419	-23.69389645	-46.39735505	(amenity) (hospital)	UPA Santa Luzia
264482	-23.711697299999997	-46.411143949999996	(amenity) (hospital)	UBS Centro
266354	-23.67009475	-46.4495047	(amenity) (hospital)	Hospital e Maternidade América
266362	-23.6806114	-46.461118049999996	(amenity) (hospital)	Hospital Santa Casa de Mauá
267313	-23.824655999999997	-46.7263531	(amenity) (hospital)	Hospital Municipal de Parelheiros
267993	-23.189511500000002	-46.87915265	(amenity) (hospital)	Hospital e Maternidade Paulo Sacramento
268593	-23.72110615	-46.5607661	(amenity) (hospital)	UBS Vila Marchi
268716	-23.615249050000003	-46.6942816	(amenity) (hospital)	Hospital Premier
269122	-23.707270100000002	-46.4955805	(amenity) (hospital)	UPA Jardim Snato André
269123	-23.707285050000003	-46.49512825	(amenity) (hospital)	Posto de Saúde Jardim Santo André
269272	-23.283965600000002	-46.74708045	(amenity) (hospital)	Hospital Estadual de Francisco Morato Professor Carlos da Silva Laca
269648	-23.680297	-46.6092795	(amenity) (hospital)	Santa Casa de Misericórdia de Diadema
269885	-23.57824565	-46.70814265	(amenity) (hospital)	Hospital Metropolitano Butantã
270128	-23.8813514	-46.4204352	(amenity) (hospital)	Policlínica
270322	-23.967109100000002	-46.3242562	(amenity) (hospital)	Unimed
270502	-23.29631315	-45.9635141	(amenity) (hospital)	Unidade de Pronto Atendimento
270610	-23.6583337	-46.5352678	(amenity) (hospital)	A.C. Camargo
270861	-23.6860468	-46.6266741	(amenity) (hospital)	Hospital São Lucas
271170	-23.500169800000002	-46.858035900000004	(amenity) (hospital)	Hospital Israelita Albert Einstein Unidade Alphaville.
271370	-23.92463705	-46.41655755	(amenity) (hospital)	UPA Doutor Mário Ruivo
