1094	Sat May 28 21:04:37 +0000 2011	4de1633b18385df2b00a2373	{Bear Gallery}	{64.838418,-147.773841,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Fri Dec 24 03:35:43 +0000 2010	4b706001f964a5204b162de3	{Safeway}	{64.8514273443986,-147.70088956639663,Fairbanks,AK,United States}	{Medical Center,Shop & Service,Food & Drink Shop,Professional & Other Places,}
1094	Fri Dec 24 02:18:08 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Dec 23 17:53:05 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu Dec 23 03:49:15 +0000 2010	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Thu Dec 23 01:56:31 +0000 2010	4bd7873188559521d2d387a7	{Sam's Club}	{64.85271851,-147.7081761,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Thu Dec 23 01:00:09 +0000 2010	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Thu Dec 23 00:41:19 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Wed Dec 22 18:29:55 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Dec 22 05:42:08 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Wed Dec 22 01:35:14 +0000 2010	4b76f2f3f964a520936d2ee3	{Walmart Supercenter}	{64.85702391115407,-147.6905754873467,Fairbanks,AK,United States}	{Shop & Service,}
1094	Wed Dec 22 00:01:10 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Dec 21 23:00:37 +0000 2010	4b6249edf964a5208b402ae3	{Lowe's Home Improvement}	{64.857674,-147.691203,Fairbanks,AK,United States}	{Shop & Service,}
1094	Tue Dec 21 22:28:53 +0000 2010	4ba92c74f964a52060113ae3	{US Post Office}	{64.848565,-147.828546,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Dec 20 19:13:39 +0000 2010	4d0faacdb765224b3413e632	{North Pole Chiropractic}	{64.760566,-147.350896,,,United States}	{}
1094	Thu Dec 16 20:38:02 +0000 2010	4d0a788227f8a35d3c952613	{McKinnley building}	{64.824282,-147.741322,,AK,United States}	{Professional & Other Places,}
1094	Thu Dec 16 16:21:29 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon Dec 13 18:27:59 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Sun Dec 12 18:05:04 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Sat Dec 11 16:19:26 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Sat Dec 11 15:56:21 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Fri Dec 10 14:34:32 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Thu Dec 09 17:52:09 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Dec 08 18:22:43 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Sat Dec 04 19:16:38 +0000 2010	4c47151389a6c9b67dff9888	{Sunrise Bagel And Espresso}	{64.84708279,-147.720329,Fairbanks,AK,United States}	{Food,}
1094	Thu Dec 02 08:22:41 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Wed Dec 01 17:49:29 +0000 2010	4c51b1ab250dd13a1c61ab7d	{Espresso Yourself}	{64.85273378007909,-147.68860700692662,Fairbanks,AK,United States}	{Food,}
1094	Mon Nov 29 21:10:16 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Nov 29 07:01:37 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 27 23:50:37 +0000 2010	4cf1993d6c29236a7db466a2	{The Manor}	{64.892071,-147.780346,,AK,United States}	{Shop & Service,}
1094	Sat Nov 27 23:01:13 +0000 2010	4cf08e0fcc61a35d6ab10f9e	{Home of Mystery friend223}	{64.85914802874835,-147.74948431164057,,AK,United States}	{Residence,}
1094	Sat Nov 27 23:01:13 +0000 2010	4cf08e0fcc61a35d6ab10f9e	{Home of Mystery friend223}	{64.85914802874835,-147.74948431164057,,AK,United States}	{Residence,}
1094	Sat Nov 27 22:00:41 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Sat Nov 27 08:14:27 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 27 04:50:37 +0000 2010	4cf08e0fcc61a35d6ab10f9e	{Home of Mystery friend223}	{64.85914802874835,-147.74948431164057,,AK,United States}	{Residence,}
1094	Fri Nov 26 21:40:56 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Fri Nov 26 05:37:26 +0000 2010	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Fri Nov 26 05:37:26 +0000 2010	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Thu Nov 25 20:56:29 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Thu Nov 25 20:56:29 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Thu Nov 25 07:45:37 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Nov 25 01:09:32 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Thu Nov 25 01:09:32 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Wed Nov 24 10:50:02 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue Nov 23 22:27:05 +0000 2010	4b6249edf964a5208b402ae3	{Lowe's Home Improvement}	{64.857674,-147.691203,Fairbanks,AK,United States}	{Shop & Service,}
1094	Tue Nov 23 22:05:35 +0000 2010	4b76f2f3f964a520936d2ee3	{Walmart Supercenter}	{64.85702391115407,-147.6905754873467,Fairbanks,AK,United States}	{Shop & Service,}
1094	Tue Nov 23 21:49:28 +0000 2010	4bd7873188559521d2d387a7	{Sam's Club}	{64.85271851,-147.7081761,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Tue Nov 23 21:49:28 +0000 2010	4bd7873188559521d2d387a7	{Sam's Club}	{64.85271851,-147.7081761,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Tue Nov 23 21:27:37 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Sun Nov 21 19:57:42 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 20 21:00:53 +0000 2010	4bf31ccd6ba2b7138d158977	{Mc Cafferty's Coffee House}	{64.84204890397393,-147.7204726514545,Fairbanks,AK,United States}	{Food,}
1094	Sat Nov 20 08:53:52 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Fri Nov 19 18:51:38 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu Nov 18 05:45:42 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Nov 18 04:26:50 +0000 2010	4bd7873188559521d2d387a7	{Sam's Club}	{64.85271851,-147.7081761,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Thu Nov 18 03:54:18 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Wed Nov 17 17:46:27 +0000 2010	4b7af814f964a52020492fe3	{Take Five}	{64.8606,-147.786188,,,United States}	{Food,}
1094	Tue Nov 16 21:50:36 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue Nov 16 17:37:04 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Sun Nov 14 12:56:50 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun Nov 14 06:43:36 +0000 2010	4b7b69c8f964a5208b622fe3	{Carl's Jr.}	{64.85825479030609,-147.699436,Fairbanks,AK,United States}	{Food,}
1094	Sun Nov 14 06:37:38 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun Nov 14 06:07:18 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Sat Nov 13 19:16:08 +0000 2010	4c51b1ab250dd13a1c61ab7d	{Espresso Yourself}	{64.85273378007909,-147.68860700692662,Fairbanks,AK,United States}	{Food,}
1094	Sat Nov 13 19:16:08 +0000 2010	4c51b1ab250dd13a1c61ab7d	{Espresso Yourself}	{64.85273378007909,-147.68860700692662,Fairbanks,AK,United States}	{Food,}
1094	Sat Nov 13 06:21:55 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 13 05:20:47 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Sat Nov 13 01:22:02 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri Nov 12 21:52:27 +0000 2010	4ba8e8f1f964a52030f939e3	{North Pole High School}	{64.747121,-147.369,North Pole,AK,United States}	{School,Professional & Other Places,}
1094	Thu Nov 11 18:10:31 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Nov 11 05:24:59 +0000 2010	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Wed Nov 10 21:42:45 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Nov 10 21:28:54 +0000 2010	4b706001f964a5204b162de3	{Safeway}	{64.8514273443986,-147.70088956639663,Fairbanks,AK,United States}	{Medical Center,Shop & Service,Food & Drink Shop,Professional & Other Places,}
1094	Wed Nov 10 20:07:39 +0000 2010	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Nov 08 17:39:21 +0000 2010	4c51b1ab250dd13a1c61ab7d	{Espresso Yourself}	{64.85273378007909,-147.68860700692662,Fairbanks,AK,United States}	{Food,}
1094	Mon Nov 08 17:31:18 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon Nov 08 03:17:43 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Mon Nov 08 00:47:24 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Sun Nov 07 19:22:28 +0000 2010	4cd6fc627da9a35dd076f2b9	{Good Morning Americano}	{64.85058260755866,-147.697027038376,Fairbanks,AK,United States}	{Food,}
1094	Sun Nov 07 07:56:48 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun Nov 07 05:26:22 +0000 2010	4b5162a2f964a520354c27e3	{Regal Goldstream Stadium 16 & IMAX}	{64.83525431608068,-147.7528953552246,Fairbanks,AK,United States}	{Arts & Entertainment,Movie Theater,}
1094	Sat Nov 06 23:26:04 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Sat Nov 06 22:53:35 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 06 17:48:07 +0000 2010	4c47151389a6c9b67dff9888	{Sunrise Bagel And Espresso}	{64.84708279,-147.720329,Fairbanks,AK,United States}	{Food,}
1094	Sat Nov 06 15:40:20 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 06 15:06:41 +0000 2010	4ca3ed6fd5a2a14304d74d90	{Hutchison High Schl / UAF Community & Technical College}	{64.850045,-147.816109,Fairbanks,AK,United States}	{College & University,}
1094	Sat Nov 06 06:43:16 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Nov 06 00:21:40 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri Nov 05 06:01:20 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Fri Nov 05 03:25:24 +0000 2010	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Fri Nov 05 03:09:07 +0000 2010	4cd3753ed160b1f7983324ab	{International Karate Association}	{64.817204,-147.905482,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Fri Nov 05 01:28:36 +0000 2010	4c655752f67ec92808465727	{Planet Fitness}	{64.835464,-147.742371,Fairbanks,AK,United States}	{Shop & Service,Gym / Fitness Center,}
1094	Fri Nov 05 00:57:17 +0000 2010	4b6c99f9f964a520c9452ce3	{Alaska USA Financial Center}	{64.855688,-147.683312,Fairbanks,AK,United States}	{Shop & Service,}
1094	Fri Nov 05 00:57:16 +0000 2010	4b6c99f9f964a520c9452ce3	{Alaska USA Financial Center}	{64.855688,-147.683312,Fairbanks,AK,United States}	{Shop & Service,}
1094	Thu Nov 04 20:42:36 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu Nov 04 19:45:31 +0000 2010	4c1ff564d38ec9b604784d83	{Chowder House}	{64.84589174710884,-147.69901577222063,Fairbanks,AK,United States}	{Food,}
1094	Thu Nov 04 03:53:18 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Nov 04 02:49:55 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Thu Nov 04 02:49:55 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Thu Nov 04 02:00:03 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Wed Nov 03 21:27:57 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Nov 03 20:50:13 +0000 2010	4b706001f964a5204b162de3	{Safeway}	{64.8514273443986,-147.70088956639663,Fairbanks,AK,United States}	{Medical Center,Shop & Service,Food & Drink Shop,Professional & Other Places,}
1094	Wed Nov 03 20:31:16 +0000 2010	4b52158df964a520906627e3	{Fred Meyer}	{64.85410214244622,-147.69046621926958,Fairbanks,AK,United States}	{Nightlife Spot,Shop & Service,Food & Drink Shop,}
1094	Wed Nov 03 17:12:40 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Wed Nov 03 02:59:16 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Wed Nov 03 01:47:08 +0000 2010	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Wed Nov 03 01:01:02 +0000 2010	4b6c99f9f964a520c9452ce3	{Alaska USA Financial Center}	{64.855688,-147.683312,Fairbanks,AK,United States}	{Shop & Service,}
1094	Tue Nov 02 22:09:24 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Nov 02 21:44:54 +0000 2010	4b4f91f5f964a520dc0b27e3	{Morris Thompson Cultural & Visitors Center}	{64.845854,-147.712627,Fairbanks,AK,United States}	{Travel & Transport,Arts & Entertainment,Professional & Other Places,}
1094	Tue Nov 02 17:56:20 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Nov 02 04:17:35 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon Nov 01 20:16:37 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Nov 01 19:44:32 +0000 2010	4b706001f964a5204b162de3	{Safeway}	{64.8514273443986,-147.70088956639663,Fairbanks,AK,United States}	{Medical Center,Shop & Service,Food & Drink Shop,Professional & Other Places,}
1094	Mon Nov 01 19:44:31 +0000 2010	4b706001f964a5204b162de3	{Safeway}	{64.8514273443986,-147.70088956639663,Fairbanks,AK,United States}	{Medical Center,Shop & Service,Food & Drink Shop,Professional & Other Places,}
1094	Mon Nov 01 17:22:56 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Fri Oct 29 08:06:09 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Oct 28 20:32:31 +0000 2010	4c0c75ffd64c0f47d753255d	{Taco King}	{64.84781,-147.70667552947998,Fairbanks,AK,United States}	{Food,}
1094	Thu Oct 28 19:05:32 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Thu Oct 28 03:54:09 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Thu Oct 28 00:31:55 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Tue Oct 26 18:23:36 +0000 2010	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Oct 26 18:23:36 +0000 2010	4cc0a642d363721e374155c9	{Holistic Medical Clinic}	{64.846422,-147.70606,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Oct 26 17:32:37 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Tue Oct 26 04:08:18 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Tue Oct 26 01:40:33 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Mon Oct 25 21:57:14 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Oct 25 20:30:04 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Mon Oct 25 20:04:38 +0000 2010	4c008ecbad15a593ad2d8e73	{UAF WRRB}	{64.85943376137767,-147.84892178256186,Fairbanks,AK,United States}	{College Academic Building,College & University,}
1094	Mon Oct 25 16:43:33 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Mon Oct 25 03:39:15 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun Oct 24 22:24:02 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Sun Oct 24 11:18:11 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun Oct 24 06:30:48 +0000 2010	4cc3d289306e224becb7996c	{The Cabin}	{64.9016933154827,-147.75719536416668,Fairbanks,AK,United States}	{Arts & Entertainment,}
1094	Sun Oct 24 02:02:50 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sun Oct 24 01:03:55 +0000 2010	4b74a3d3f964a52094e92de3	{West Valley High School}	{64.85123166874662,-147.8242982926605,Fairbanks,AK,United States}	{School,Professional & Other Places,}
1094	Sun Oct 24 00:54:33 +0000 2010	4cb104c7b4b0a35db0a04ece	{My House!!!}	{64.85374929911342,-147.7272482217784,,AK,United States}	{Residence,}
1094	Sat Oct 23 23:05:25 +0000 2010	4b50f952f964a520643b27e3	{Fred Meyer}	{64.83532731025596,-147.8175687789917,Fairbanks,AK,United States}	{Shop & Service,Food & Drink Shop,}
1094	Sat Oct 23 22:41:38 +0000 2010	4b4d0942f964a520bac826e3	{UAF Patty Center}	{64.85615905368368,-147.83323287963867,Fairbanks,AK,United States}	{College & University,}
1094	Sat Oct 23 06:17:31 +0000 2010	4bef936dc80dc9288e2428e3	{Gallo's Mexican Restaurant}	{64.8538084244404,-147.71227430466482,Fairbanks,AK,United States}	{Food,}
1094	Sat Oct 23 00:06:52 +0000 2010	4b6bc846f964a5205b182ce3	{Dance Theatre Fairbanks}	{64.840929,-147.7238611,Fairbanks,AK,United States}	{}
1094	Fri Oct 22 22:39:07 +0000 2010	4cb76d76bac93704877ad47c	{Alaska Department of Fish and Game}	{64.861774,-147.741246,Fairbanks,AK,United States}	{Professional & Other Places,}
1094	Fri Oct 22 21:53:01 +0000 2010	4b527a82f964a5202d7f27e3	{Barnes & Noble}	{64.85703429042596,-147.6995086669922,Fairbanks,AK,United States}	{Shop & Service,}
1094	Fri Oct 22 21:36:08 +0000 2010	4b706001f964a5204b162de3	{Safeway}	{64.8514273443986,-147.70088956639663,Fairbanks,AK,United States}	{Medical Center,Shop & Service,Food & Drink Shop,Professional & Other Places,}
1094	Fri Oct 22 21:21:03 +0000 2010	4cc2003006c2548150dd8647	{Professional Pharmacy}	{64.83924234912402,-147.7094575732243,Fairbanks,AK,United States}	{Shop & Service,}
